AgeGroup,Gender,SocialMediaHours,UsageDuringStudy,FocusReduction,Procrastination,CheckingDuringStudy,CourseworkDistraction,TimeManagementDifficulty,NotificationDisruption,Multitasking,TimeLost,StudyDelay,UsageLimitation,AcademicImpact,ProductivityWithoutSM,MostUsedPlatform,BreakFrequency,ProductivityImpact
18–24,Female ,1–3 hours ,Often ,Slightly ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Rarely ,Sometimes ,Sometimes ,Always ,Often ,Not at all ,Instagram ,Rarely ,Moderately 
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often ,Often ,Moderately ,Moderately ,Always ,Sometimes ,Often ,Often ,Often ,Sometimes ,Moderately ,Facebook ,Sometimes ,Moderately 
18–24,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Slightly ,Slightly ,Often ,Sometimes ,Sometimes ,Often ,Often ,Sometimes ,Moderately ,Facebook ,Often ,Moderately 
25–34,Female ,Less than 1 hour ,Rarely ,Not at all ,Sometimes ,Rarely ,Slightly ,Moderately ,Often ,Often ,Often ,Sometimes ,Sometimes ,Sometimes ,Significantly ,Facebook ,Sometimes ,Slightly 
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Moderately ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Twitter ,Sometimes ,Slightly 
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely ,Rarely ,Slightly ,Slightly ,Sometimes ,Often ,Often ,Sometimes ,Rarely ,Sometimes ,Slightly ,Facebook ,Rarely ,Slightly 
18–24,Male ,1–3 hours ,Sometimes ,Significantly ,Always ,Sometimes ,Not at all ,Significantly ,Always ,Sometimes ,Always ,Always ,Sometimes ,Often ,Significantly ,Facebook ,Often ,Moderately 
18–24,Male ,1–3 hours ,Sometimes ,Significantly ,Often ,Sometimes ,Moderately ,Significantly ,Sometimes ,Sometimes ,Sometimes ,Often ,Sometimes ,Sometimes ,Significantly ,Facebook ,Sometimes ,Moderately 
25–34,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Rarely ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Facebook ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Often ,Sometimes ,Slightly ,Moderately ,Sometimes ,Sometimes ,Often ,Sometimes ,Often ,Sometimes ,Moderately ,Instagram ,Sometimes ,Not at all 
25–34,Male ,Less than 1 hour ,Sometimes ,Not at all ,Sometimes ,Sometimes ,Slightly ,Significantly ,Always ,Often ,Often ,Often ,Always ,Often ,Significantly ,Facebook ,Sometimes ,Significantly 
18–24,Male ,More than 3 hours ,Sometimes ,Significantly ,Often ,Often ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Always ,Significantly ,Facebook ,Sometimes ,Significantly 
Below 18,Male ,1–3 hours ,Often ,Slightly ,Rarely ,Sometimes ,Significantly ,Significantly ,Rarely ,Rarely ,Often ,Rarely ,Always ,Always ,Significantly ,YouTube ,Sometimes ,Slightly 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Often ,Slightly ,Moderately ,Rarely ,Rarely ,Sometimes ,Sometimes ,Often ,Often ,Significantly ,Facebook ,Often ,Significantly 
Below 18,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,Facebook ,Rarely ,Not at all 
18–24,Male ,More than 3 hours ,Often ,Slightly ,Sometimes ,Sometimes ,Moderately ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Not at all ,YouTube ,Sometimes ,Slightly 
18–24,Female ,1–3 hours ,Often ,Moderately ,Always ,Always ,Significantly ,Significantly ,Often ,Always ,Often ,Often ,Always ,Often ,Moderately ,Facebook ,Often ,Significantly 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Slightly ,TikTok ,Sometimes ,Slightly 
Below 18,Male ,Less than 1 hour ,Sometimes ,Moderately ,Always ,Often ,Not at all ,Slightly ,Rarely ,Rarely ,Often ,Often ,Sometimes ,Often ,Slightly ,Facebook ,Rarely ,Not at all 
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Not at all ,Often ,Sometimes ,Rarely ,Sometimes ,Often ,Rarely ,Moderately ,Facebook ,Always ,Significantly 
18–24,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes ,Rarely ,Slightly ,Slightly ,Rarely ,Sometimes ,Sometimes ,Sometimes ,Often ,Rarely ,Moderately ,Facebook ,Sometimes ,Slightly 
Below 18,Female ,More than 3 hours ,Often ,Significantly ,Often ,Always ,Slightly ,Moderately ,Always ,Often ,Often ,Always ,Always ,Always ,Moderately ,Snapchat ,Always ,Moderately 
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,TikTok ,Sometimes ,Moderately 
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Always ,Significantly ,Others ,Always ,Significantly 
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Rarely ,Rarely ,Sometimes ,Sometimes ,Slightly ,Snapchat ,Sometimes ,Slightly 
25–34,Female ,More than 3 hours ,Often ,Significantly ,Always ,Often ,Significantly ,Significantly ,Always ,Often ,Often ,Always ,Always ,Often ,Significantly ,Facebook ,Always ,Significantly 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Slightly ,TikTok ,Sometimes ,Slightly 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Moderately ,Always ,Often ,Always ,Often ,Always ,Always ,Significantly ,Facebook ,Often ,Significantly 
18–24,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes ,Rarely ,Slightly ,Slightly ,Rarely ,Sometimes ,Sometimes ,Sometimes ,Often ,Rarely ,Moderately ,Facebook ,Sometimes ,Slightly 
18–24,Male ,More than 3 hours ,Always ,Moderately ,Sometimes ,Often ,Moderately ,Moderately ,Rarely ,Often ,Sometimes ,Sometimes ,Always ,Rarely ,Moderately ,Instagram ,Sometimes ,Significantly 
18–24,Male ,1–3 hours ,Often ,Significantly ,Often ,Sometimes ,Moderately ,Slightly ,Often ,Always ,Sometimes ,Often ,Often ,Often ,Significantly ,Facebook ,Often ,Moderately 
25–34,Other ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,Facebook ,Rarely ,Not at all 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Always ,Significantly ,Facebook ,Always ,Significantly 
Below 18,Female ,Less than 1 hour ,Always ,Moderately ,Sometimes ,Often ,Not at all ,Significantly ,Rarely ,Sometimes ,Often ,Always ,Always ,Rarely ,Slightly ,TikTok ,Sometimes ,Significantly 
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often ,Always ,Moderately ,Significantly ,Always ,Always ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Often ,Moderately ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Slightly ,Twitter ,Sometimes ,Slightly 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Always ,Significantly ,Facebook ,Always ,Significantly 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Significantly ,Snapchat ,Sometimes ,Slightly 
Below 18,Female ,Less than 1 hour ,Always ,Moderately ,Sometimes ,Often ,Not at all ,Significantly ,Rarely ,Sometimes ,Often ,Always ,Always ,Rarely ,Slightly ,TikTok ,Sometimes ,Significantly 
25–34,Other ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Often ,Significantly ,Snapchat ,Always ,Slightly 
18–24,Male ,1–3 hours ,Often ,Significantly ,Often ,Sometimes ,Moderately ,Significantly ,Often ,Always ,Always ,Always ,Always ,Always ,Moderately ,YouTube ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Always ,Moderately ,Significantly ,Often ,Often ,Always ,Always ,Always ,Often ,Significantly ,LinkedIn ,Always ,Moderately 
25–34,Other ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Often ,Significantly ,Snapchat ,Always ,Slightly 
Below 18,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Always ,Often ,Always ,Often ,Often ,Significantly ,TikTok ,Always ,Slightly 
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Not at all ,Often ,Sometimes ,Rarely ,Sometimes ,Often ,Rarely ,Moderately ,Facebook ,Always ,Significantly 
18–24,Female ,1–3 hours ,Often ,Slightly ,Sometimes ,Often ,Slightly ,Slightly ,Sometimes ,Sometimes ,Often ,Sometimes ,Often ,Rarely ,Moderately ,Facebook ,Sometimes ,Moderately 
25–34,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes ,Often ,Moderately ,Slightly ,Sometimes ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Slightly ,Twitter ,Rarely ,Slightly 
18–24,Male ,1–3 hours ,Often ,Moderately ,Sometimes ,Often ,Slightly ,Slightly ,Rarely ,Sometimes ,Often ,Sometimes ,Rarely ,Sometimes ,Significantly ,Facebook ,Always ,Slightly 
Below 18,Female ,1–3 hours ,Often ,Significantly ,Often ,Often ,Slightly ,Moderately ,Sometimes ,Always ,Always ,Often ,Always ,Rarely ,Significantly ,Facebook ,Often ,Slightly 
25–34,Male ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Instagram ,Sometimes ,Slightly 
18–24,Female ,1–3 hours ,Often ,Moderately ,Always ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Sometimes ,Sometimes ,Significantly ,Facebook ,Always ,Moderately 
25–34,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Slightly ,LinkedIn ,Rarely ,Slightly 
25–34,Male ,1–3 hours ,Often ,Moderately ,Sometimes ,Often ,Significantly ,Significantly ,Often ,Sometimes ,Often ,Always ,Always ,Sometimes ,Significantly ,Instagram ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Slightly 
25–34,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Often ,Slightly ,Instagram ,Sometimes ,Moderately 
25–34,Male ,1–3 hours ,Often ,Moderately ,Sometimes ,Often ,Significantly ,Significantly ,Often ,Sometimes ,Often ,Always ,Always ,Sometimes ,Significantly ,Instagram ,Often ,Moderately 
25–34,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Moderately ,Moderately ,Rarely ,Rarely ,Sometimes ,Often ,Sometimes ,Sometimes ,Moderately ,Others ,Sometimes ,Moderately 
18–24,Male ,1–3 hours ,Always ,Significantly ,Often ,Often ,Moderately ,Significantly ,Often ,Always ,Often ,Often ,Always ,Often ,Moderately ,Snapchat ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Significantly ,Significantly ,Often ,Often ,Often ,Always ,Always ,Often ,Moderately ,TikTok ,Often ,Significantly 
18–24,Female ,1–3 hours ,Often ,Slightly ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Rarely ,Sometimes ,Sometimes ,Always ,Often ,Not at all ,Instagram ,Rarely ,Moderately 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often ,Often ,Significantly ,Significantly ,Often ,Often ,Always ,Always ,Always ,Often ,Significantly ,LinkedIn ,Often ,Moderately 
25–34,Male ,1–3 hours ,Often ,Moderately ,Often ,Sometimes ,Slightly ,Slightly ,Sometimes ,Often ,Often ,Sometimes ,Sometimes ,Often ,Slightly ,Facebook ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Rarely ,Not at all ,Rarely ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Sometimes ,Slightly ,TikTok ,Sometimes ,Slightly 
25–34,Female ,More than 3 hours ,Often ,Not at all ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Rarely ,Rarely ,Sometimes ,Often ,Not at all ,Facebook ,Sometimes ,Slightly 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Always ,Moderately ,Significantly ,Often ,Often ,Often ,Always ,Always ,Always ,Moderately ,Facebook ,Always ,Significantly 
25–34,Other ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,Facebook ,Rarely ,Not at all 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Significantly ,Significantly ,Often ,Often ,Often ,Always ,Always ,Often ,Moderately ,TikTok ,Often ,Significantly 
18–24,Male ,1–3 hours ,Sometimes ,Significantly ,Always ,Sometimes ,Not at all ,Significantly ,Always ,Sometimes ,Always ,Always ,Sometimes ,Often ,Significantly ,Facebook ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Often ,Always ,Always ,Always ,Often ,Often ,Moderately ,Facebook ,Sometimes ,Significantly 
18–24,Male ,1–3 hours ,Always ,Slightly ,Sometimes ,Sometimes ,Moderately ,Moderately ,Often ,Often ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Slightly ,Facebook ,Sometimes ,Moderately 
18–24,Female ,1–3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Often ,Often ,Significantly ,YouTube ,Always ,Significantly 
Below 18,Male ,More than 3 hours ,Sometimes ,Significantly ,Often ,Always ,Moderately ,Significantly ,Often ,Always ,Always ,Always ,Always ,Always ,Significantly ,Snapchat ,Often ,Significantly 
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely ,Rarely ,Slightly ,Slightly ,Sometimes ,Often ,Often ,Sometimes ,Rarely ,Sometimes ,Slightly ,Facebook ,Rarely ,Slightly 
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often ,Sometimes ,Not at all ,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely ,Sometimes ,Sometimes ,Moderately ,YouTube ,Often ,Not at all 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Often ,Always ,Significantly ,Significantly ,Always ,Often ,Often ,Often ,Sometimes ,Often ,Significantly ,Facebook ,Often ,Significantly 
25–34,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,Facebook ,Rarely ,Not at all 
18–24,Female ,1–3 hours ,Often ,Significantly ,Often ,Sometimes ,Moderately ,Moderately ,Often ,Sometimes ,Often ,Often ,Often ,Often ,Significantly ,Facebook ,Sometimes ,Moderately 
18–24,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Slightly ,Not at all ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Often ,Sometimes ,Significantly ,Facebook ,Often ,Moderately 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Sometimes ,Often ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Often ,Sometimes ,Slightly ,Facebook ,Sometimes ,Slightly 
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Moderately ,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Always ,Often ,Significantly ,Facebook ,Sometimes ,Moderately 
25–34,Male ,More than 3 hours ,Sometimes ,Slightly ,Often ,Sometimes ,Moderately ,Slightly ,Often ,Often ,Often ,Sometimes ,Often ,Sometimes ,Moderately ,Facebook ,Often ,Moderately 
Below 18,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Slightly ,Others ,Sometimes ,Slightly 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Often ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,TikTok ,Sometimes ,Slightly 
25–34,Male ,1–3 hours ,Often ,Moderately ,Rarely ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Often ,Sometimes ,Rarely ,Sometimes ,Moderately ,YouTube ,Often ,Moderately 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often ,Often ,Significantly ,Significantly ,Often ,Often ,Always ,Always ,Always ,Often ,Significantly ,LinkedIn ,Often ,Moderately 
Below 18,Male ,More than 3 hours ,Often ,Moderately ,Often ,Always ,Moderately ,Significantly ,Sometimes ,Always ,Often ,Often ,Always ,Sometimes ,Significantly ,Facebook ,Often ,Moderately 
Below 18,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,Facebook ,Rarely ,Not at all 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Always ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Sometimes ,Often ,Significantly ,Facebook ,Sometimes ,Moderately 
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Often ,Always ,Always ,Often ,Sometimes ,Always ,Significantly ,YouTube ,Often ,Significantly 
Below 18,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Slightly ,YouTube ,Sometimes ,Slightly 
18–24,Male ,More than 3 hours ,Sometimes ,Not at all ,Sometimes ,Sometimes ,Slightly ,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely ,Rarely ,Rarely ,Not at all ,Facebook ,Often ,Slightly 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often ,Always ,Significantly ,Moderately ,Often ,Often ,Often ,Often ,Always ,Often ,Moderately ,Instagram ,Often ,Moderately 
Below 18,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes ,Often ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Often ,Always ,Moderately ,Facebook ,Always ,Significantly 
18–24,Other ,More than 3 hours ,Often ,Moderately ,Sometimes ,Sometimes ,Slightly ,Slightly ,Often ,Often ,Sometimes ,Often ,Sometimes ,Sometimes ,Slightly ,LinkedIn ,Often ,Slightly 
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Moderately ,Moderately ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Always ,Sometimes ,Significantly ,TikTok ,Sometimes ,Moderately 
18–24,Female ,More than 3 hours ,Sometimes ,Not at all ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Sometimes ,Rarely ,Rarely ,Often ,Often ,Not at all ,Facebook ,Often ,Not at all 
18–24,Male ,More than 3 hours ,Sometimes ,Not at all ,Sometimes ,Sometimes ,Slightly ,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely ,Rarely ,Rarely ,Not at all ,Facebook ,Often ,Slightly 
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Moderately ,Moderately ,Always ,Often ,Often ,Often ,Always ,Often ,Moderately ,Facebook ,Often ,Significantly 
18–24,Male ,More than 3 hours ,Often ,Slightly ,Sometimes ,Sometimes ,Moderately ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Not at all ,YouTube ,Sometimes ,Slightly 
18–24,Female ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Moderately ,Always ,Always ,Always ,Always ,Often ,Always ,Significantly ,YouTube ,Always ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Sometimes ,Moderately ,Slightly ,Rarely ,Rarely ,Sometimes ,Sometimes ,Sometimes ,Often ,Significantly ,Facebook ,Sometimes ,Significantly 
18–24,Female ,More than 3 hours ,Sometimes ,Significantly ,Often ,Sometimes ,Moderately ,Moderately ,Sometimes ,Sometimes ,Often ,Sometimes ,Often ,Often ,Moderately ,Facebook ,Sometimes ,Moderately 
18–24,Female ,More than 3 hours ,Often ,Slightly ,Often ,Often ,Moderately ,Slightly ,Often ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Often ,Moderately ,Facebook ,Often ,Moderately 
Below 18,Male ,More than 3 hours ,Often ,Slightly ,Often ,Sometimes ,Moderately ,Moderately ,Sometimes ,Sometimes ,Always ,Often ,Sometimes ,Sometimes ,Slightly ,Instagram ,Sometimes ,Significantly 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Often ,Always ,Significantly ,YouTube ,Sometimes ,Significantly 
18–24,Female ,More than 3 hours ,Always ,Moderately ,Often ,Often ,Significantly ,Significantly ,Sometimes ,Often ,Always ,Often ,Often ,Sometimes ,Significantly ,Facebook ,Sometimes ,Moderately 
25–34,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Moderately ,Moderately ,Rarely ,Rarely ,Sometimes ,Often ,Sometimes ,Sometimes ,Moderately ,Others ,Sometimes ,Moderately 
Below 18,Male ,1–3 hours ,Sometimes ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Always ,Rarely ,Rarely ,Often ,Sometimes ,Slightly ,TikTok ,Sometimes ,Not at all 
25–34,Male ,1–3 hours ,Often ,Slightly ,Sometimes ,Rarely ,Not at all ,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Often ,Slightly ,Snapchat ,Sometimes ,Not at all 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Not at all ,Sometimes ,Sometimes ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,TikTok ,Sometimes ,Slightly 
25–34,Male ,More than 3 hours ,Always ,Significantly ,Often ,Often ,Significantly ,Significantly ,Often ,Often ,Often ,Always ,Often ,Often ,Significantly ,Facebook ,Sometimes ,Significantly 
18–24,Female ,More than 3 hours ,Always ,Moderately ,Often ,Often ,Significantly ,Significantly ,Sometimes ,Often ,Always ,Often ,Often ,Sometimes ,Significantly ,Facebook ,Sometimes ,Moderately 
25–34,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Rarely ,Slightly ,Others ,Rarely ,Slightly 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Always ,Moderately ,Moderately ,Often ,Often ,Always ,Always ,Always ,Often ,Significantly ,Facebook ,Always ,Moderately 
25–34,Other ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,Facebook ,Rarely ,Not at all 
25–34,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Slightly ,LinkedIn ,Rarely ,Slightly 
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely ,Rarely ,Slightly ,Slightly ,Rarely ,Rarely ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Slightly ,Facebook ,Rarely ,Slightly 
18–24,Other ,More than 3 hours ,Often ,Moderately ,Sometimes ,Sometimes ,Slightly ,Slightly ,Often ,Often ,Sometimes ,Often ,Sometimes ,Sometimes ,Slightly ,LinkedIn ,Often ,Slightly 
18–24,Male ,1–3 hours ,Rarely ,Significantly ,Often ,Often ,Significantly ,Significantly ,Often ,Sometimes ,Sometimes ,Sometimes ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Female ,More than 3 hours ,Sometimes ,Significantly ,Often ,Sometimes ,Moderately ,Significantly ,Rarely ,Rarely ,Often ,Often ,Often ,Often ,Significantly ,Facebook ,Rarely ,Moderately 
Below 18,Male ,Less than 1 hour ,Sometimes ,Moderately ,Always ,Often ,Not at all ,Slightly ,Rarely ,Rarely ,Often ,Often ,Sometimes ,Often ,Slightly ,Facebook ,Rarely ,Not at all 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Sometimes ,Moderately ,Slightly ,Rarely ,Rarely ,Sometimes ,Sometimes ,Sometimes ,Often ,Significantly ,Facebook ,Sometimes ,Significantly 
Below 18,Female ,More than 3 hours ,Often ,Significantly ,Always ,Always ,Significantly ,Significantly ,Often ,Always ,Always ,Always ,Always ,Often ,Slightly ,TikTok ,Always ,Significantly 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Moderately ,Often ,Always ,Often ,Often ,Always ,Always ,Significantly ,TikTok ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Sometimes ,Moderately ,Significantly ,Always ,Sometimes ,Rarely ,Often ,Sometimes ,Sometimes ,Significantly ,YouTube ,Sometimes ,Not at all 
18–24,Male ,Less than 1 hour ,Rarely ,Moderately ,Rarely ,Sometimes ,Slightly ,Slightly ,Often ,Rarely ,Sometimes ,Rarely ,Often ,Sometimes ,Significantly ,Facebook ,Sometimes ,Slightly 
25–34,Female ,Less than 1 hour ,Rarely ,Slightly ,Rarely ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Twitter ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Rarely ,Not at all ,Rarely ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Sometimes ,Slightly ,TikTok ,Sometimes ,Slightly 
